"Time[ms]","Channel A[V]"
7.83456795,-0.36744280
7.83712795,-0.36744280
7.83968795,-0.36744280
7.84224795,-0.36744280
7.84480795,-0.36744280
7.84736795,-0.36744280
7.84992795,-0.36744280
7.85248795,-0.36744280
7.85504795,-0.36744280
7.85760795,-0.36744280
7.86016795,-0.36744280
7.86272795,-0.36744280
7.86528795,-0.36744280
7.86784795,-0.36744280
7.87040795,-0.36744280
7.87296795,-0.36744280
7.87552795,-0.36744280
7.87808795,-0.36744280
7.88064795,-0.36744280
7.88320795,-0.36744280
7.88576795,-0.36744280
7.88832795,-0.36744280
7.89088795,-0.36744280
7.89344795,-0.36744280
7.89600795,-0.36744280
7.89856795,-0.36744280
7.90112795,-0.36744280
7.90368795,-0.36744280
7.90624795,-0.36744280
7.90880795,-0.36744280
7.91136795,-0.36744280
7.91392795,-0.36744280
7.91648795,-0.36744280
7.91904795,-0.19104590
7.92160795,-0.36744280
7.92416795,-0.19104590
7.92672795,-0.36744280
7.92928795,-0.19104590
7.93184795,-0.19104590
7.93440795,-0.19104590
7.93696795,-0.19104590
7.93952795,-0.19104590
7.94208795,-0.19104590
7.94464795,-0.19104590
7.94720795,-0.19104590
7.94976795,-0.19104590
7.95232795,-0.19104590
7.95488795,-0.19104590
7.95744795,-0.19104590
7.96000795,-0.19104590
7.96256795,-0.19104590
7.96512795,-0.19104590
7.96768795,-0.19104590
7.97024795,-0.19104590
7.97280795,-0.19104590
7.97536795,-0.01525925
7.97792795,-0.19104590
7.98048795,-0.01525925
7.98304795,-0.01525925
7.98560795,-0.01525925
7.98816795,-0.01525925
7.99072795,-0.01525925
7.99328795,-0.01525925
7.99584795,-0.01525925
7.99840795,-0.01525925
8.00096795,-0.01525925
8.00352795,-0.01525925
8.00608795,-0.01525925
8.00864795,0.16052740
8.01120795,-0.01525925
8.01376795,0.16052740
8.01632795,0.16052740
8.01888795,0.16052740
8.02144795,-0.01525925
8.02400795,0.16052740
8.02656795,0.16052740
8.02912795,0.16052740
8.03168795,0.16052740
8.03424795,0.16052740
8.03680795,0.16052740
8.03936795,0.33692430
8.04192795,0.16052740
8.04448795,0.16052740
8.04704795,0.16052740
8.04960795,0.16052740
8.05216795,0.16052740
8.05472795,0.16052740
8.05728795,0.33692430
8.05984795,0.33692430
8.06240795,0.33692430
8.06496795,0.33692430
8.06752795,0.33692430
8.07008795,0.33692430
8.07264795,0.33692430
8.07520795,0.33692430
8.07776795,0.33692430
8.08032795,0.33692430
8.08288795,0.33692430
8.08544795,0.33692430
8.08800795,0.33692430
8.09056795,0.33692430
8.09312795,0.33692430
8.09568795,0.33692430
8.09824795,0.33692430
8.10080795,0.33692430
8.10336795,0.33692430
8.10592795,0.33692430
8.10848795,0.33692430
8.11104795,0.51332130
8.11360795,0.33692430
8.11616795,0.51332130
8.11872795,0.33692430
8.12128795,0.33692430
8.12384795,0.51332130
8.12640795,0.33692430
8.12896795,0.51332130
8.13152795,0.33692430
8.13408795,0.51332130
8.13664795,0.33692430
8.13920795,0.33692430
8.14176795,0.33692430
8.14432795,0.33692430
8.14688795,0.51332130
8.14944795,0.51332130
8.15200795,0.33692430
8.15456795,0.33692430
8.15712795,0.33692430
8.15968795,0.33692430
8.16224795,0.33692430
8.16480795,0.33692430
8.16736795,0.33692430
8.16992795,0.33692430
8.17248795,0.33692430
8.17504795,0.33692430
8.17760795,0.33692430
8.18016795,0.33692430
8.18272795,0.33692430
8.18528795,0.33692430
8.18784795,0.33692430
8.19040795,0.33692430
8.19296795,0.33692430
8.19552795,0.33692430
8.19808795,0.33692430
8.20064795,0.33692430
8.20320795,0.33692430
8.20576795,0.33692430
8.20832795,0.33692430
8.21088795,0.33692430
8.21344795,0.33692430
8.21600795,0.33692430
8.21856795,0.33692430
8.22112795,0.33692430
8.22368795,0.16052740
8.22624795,0.16052740
8.22880795,0.33692430
8.23136795,0.16052740
8.23392795,0.33692430
8.23648795,0.33692430
8.23904795,0.33692430
8.24160795,0.16052740
8.24416795,0.16052740
8.24672795,0.16052740
8.24928795,0.16052740
8.25184795,0.16052740
8.25440795,0.16052740
8.25696795,0.16052740
8.25952795,0.16052740
8.26208795,0.16052740
8.26464795,0.16052740
8.26720795,0.16052740
8.26976795,0.16052740
8.27232795,-0.01525925
8.27488795,-0.01525925
8.27744795,0.16052740
8.28000795,-0.01525925
8.28256795,-0.01525925
8.28512795,0.16052740
8.28768795,-0.01525925
8.29024795,-0.01525925
8.29280795,-0.01525925
8.29536795,-0.19104590
8.29792795,-0.01525925
8.30048795,-0.01525925
8.30304795,-0.01525925
8.30560795,-0.19104590
8.30816795,-0.01525925
8.31072795,-0.19104590
8.31328795,-0.01525925
8.31584795,-0.19104590
8.31840795,-0.19104590
8.32096795,-0.19104590
8.32352795,-0.19104590
8.32608795,-0.19104590
8.32864795,-0.19104590
8.33120795,-0.19104590
8.33376795,-0.19104590
8.33632795,-0.19104590
8.33888795,-0.19104590
8.34144795,-0.19104590
8.34400795,-0.19104590
8.34656795,-0.19104590
8.34912795,-0.19104590
8.35168795,-0.19104590
8.35424795,-0.19104590
8.35680795,-0.19104590
8.35936795,-0.19104590
8.36192795,-0.19104590
8.36448795,-0.19104590
8.36704795,-0.19104590
8.36960795,-0.19104590
8.37216795,-0.36744280
8.37472795,-0.19104590
8.37728795,-0.36744280
8.37984795,-0.36744280
8.38240795,-0.19104590
8.38496795,-0.19104590
8.38752795,-0.36744280
8.39008795,-0.36744280
8.39264795,-0.19104590
8.39520795,-0.19104590
8.39776795,-0.36744280
8.40032795,-0.36744280
8.40288795,-0.36744280
8.40544795,-0.36744280
8.40800795,-0.19104590
8.41056795,-0.36744280
8.41312795,-0.36744280
8.41568795,-0.36744280
8.41824795,-0.36744280
8.42080795,-0.36744280
8.42336795,-0.19104590
8.42592795,-0.36744280
8.42848795,-0.36744280
8.43104795,-0.36744280
8.43360795,-0.19104590
8.43616795,-0.36744280
8.43872795,-0.36744280
8.44128795,-0.36744280
8.44384795,-0.36744280
8.44640795,-0.36744280
8.44896795,-0.36744280
8.45152795,-0.36744280
8.45408795,-0.36744280
8.45664795,-0.19104590
8.45920795,-0.36744280
8.46176795,-0.36744280
8.46432795,-0.36744280
8.46688795,-0.19104590
8.46944795,-0.19104590
8.47200795,-0.36744280
8.47456795,-0.19104590
8.47712795,-0.19104590
8.47968795,-0.36744280
8.48224795,-0.19104590
8.48480795,-0.19104590
8.48736795,-0.19104590
8.48992795,-0.19104590
8.49248795,-0.19104590
8.49504795,-0.19104590
8.49760795,-0.19104590
8.50016795,-0.19104590
8.50272795,-0.19104590
8.50528795,-0.19104590
8.50784795,-0.19104590
8.51040795,-0.19104590
8.51296795,-0.19104590
8.51552795,-0.19104590
8.51808795,-0.19104590
8.52064795,-0.19104590
8.52320795,-0.19104590
8.52576795,-0.19104590
8.52832795,-0.19104590
8.53088795,-0.19104590
8.53344795,-0.01525925
8.53600795,-0.19104590
8.53856795,-0.19104590
8.54112795,-0.01525925
8.54368795,-0.01525925
8.54624795,-0.19104590
8.54880795,-0.01525925
8.55136795,-0.01525925
8.55392795,-0.01525925
8.55648795,-0.01525925
8.55904795,-0.01525925
8.56160795,0.16052740
8.56416795,-0.01525925
8.56672795,0.16052740
8.56928795,-0.01525925
8.57184795,0.16052740
8.57440795,0.16052740
8.57696795,0.16052740
8.57952795,0.16052740
8.58208795,-0.01525925
8.58464795,0.16052740
8.58720795,0.16052740
8.58976795,0.16052740
8.59232795,0.16052740
8.59488795,0.16052740
8.59744795,0.16052740
8.60000795,0.16052740
8.60256795,0.16052740
8.60512795,0.16052740
8.60768795,0.16052740
8.61024795,0.16052740
8.61280795,0.16052740
8.61536795,0.33692430
8.61792795,0.16052740
8.62048795,0.33692430
8.62304795,0.16052740
8.62560795,0.33692430
8.62816795,0.16052740
8.63072795,0.16052740
8.63328795,0.33692430
8.63584795,0.33692430
8.63840795,0.33692430
8.64096795,0.33692430
8.64352795,0.33692430
8.64608795,0.33692430
8.64864795,0.33692430
8.65120795,0.33692430
8.65376795,0.33692430
8.65632795,0.33692430
8.65888795,0.33692430
8.66144795,0.33692430
8.66400795,0.33692430
8.66656795,0.33692430
8.66912795,0.33692430
8.67168795,0.33692430
8.67424795,0.33692430
8.67680795,0.33692430
8.67936795,0.33692430
8.68192795,0.33692430
8.68448795,0.33692430
8.68704795,0.33692430
8.68960795,0.33692430
8.69216795,0.33692430
8.69472795,0.33692430
8.69728795,0.33692430
8.69984795,0.33692430
8.70240795,0.33692430
8.70496795,0.33692430
8.70752795,0.33692430
8.71008795,0.33692430
8.71264795,0.33692430
8.71520795,0.33692430
8.71776795,0.33692430
8.72032795,0.33692430
8.72288795,0.33692430
8.72544795,0.33692430
8.72800795,0.33692430
8.73056795,0.33692430
8.73312795,0.33692430
8.73568795,0.33692430
8.73824795,0.33692430
8.74080795,0.33692430
8.74336795,0.33692430
8.74592795,0.33692430
8.74848795,0.33692430
8.75104795,0.33692430
8.75360795,0.33692430
8.75616795,0.33692430
8.75872795,0.33692430
8.76128795,0.33692430
8.76384795,0.33692430
8.76640795,0.16052740
8.76896795,0.33692430
8.77152795,0.33692430
8.77408795,0.33692430
8.77664795,0.33692430
8.77920795,0.33692430
8.78176795,0.16052740
8.78432795,0.16052740
8.78688795,0.16052740
8.78944795,0.16052740
8.79200795,0.33692430
8.79456795,0.16052740
8.79712795,0.16052740
8.79968795,0.16052740
8.80224795,0.16052740
8.80480795,0.16052740
8.80736795,0.16052740
8.80992795,-0.01525925
8.81248795,0.16052740
8.81504795,-0.01525925
8.81760795,-0.01525925
8.82016795,0.16052740
8.82272795,0.16052740
8.82528795,0.16052740
8.82784795,-0.01525925
8.83040795,-0.01525925
8.83296795,-0.01525925
8.83552795,-0.01525925
8.83808795,-0.01525925
8.84064795,-0.01525925
8.84320795,-0.01525925
8.84576795,-0.01525925
8.84832795,-0.01525925
8.85088795,-0.01525925
8.85344795,-0.01525925
8.85600795,-0.01525925
8.85856795,-0.01525925
8.86112795,-0.01525925
