"Frequency[kHz]","Channel A[dBu]"
45.34721375,-66.10579000
45.39489746,-58.90392000
45.44258118,-59.44237000
45.49026489,-62.84638000
45.53794861,-62.25008000
45.58563232,-60.03838000
45.63331604,-60.62964000
45.68099976,-60.69081000
45.72868347,-53.48621000
45.77636719,-54.99030000
45.82405090,-56.00189000
45.87173462,-50.69262000
45.91941833,-51.15175000
45.96710205,-52.46607000
46.01478577,-49.44540000
46.06246948,-49.12862000
46.11015320,-52.86299000
46.15783691,-55.95146000
46.20552063,-55.01360000
46.25320435,-54.36454000
46.30088806,-55.74645000
46.34857178,-57.52091000
46.39625549,-60.38054000
46.44393921,-62.61581000
46.49162292,-57.14014000
46.53930664,-53.43880000
46.58699036,-54.90081000
46.63467407,-71.77993000
46.68235779,-59.86964000
46.73004150,-64.91625000
46.77772522,-62.14198000
46.82540894,-57.04073000
46.87309265,-54.63710000
46.92077637,-49.88085000
46.96846008,-48.39396000
47.01614380,-52.10731000
47.06382751,-56.55399000
47.11151123,-55.82811000
47.15919495,-53.21537000
47.20687866,-55.10697000
47.25456238,-60.62894000
47.30224609,-67.59657000
47.34992981,-58.12486000
47.39761353,-52.49884000
47.44529724,-52.64546000
47.49298096,-60.33062000
47.54066467,-67.54296000
47.58834839,-60.63513000
47.63603210,-54.49850000
47.68371582,-55.19980000
47.73139954,-55.17913000
47.77908325,-54.89545000
47.82676697,-54.27813000
47.87445068,-56.70555000
47.92213440,-56.51842000
47.96981812,-52.27439000
48.01750183,-49.40001000
48.06518555,-49.96350000
48.11286926,-57.25794000
48.16055298,-64.19822000
48.20823669,-62.17097000
48.25592041,-53.07916000
48.30360413,-53.58500000
48.35128784,-62.06271000
48.39897156,-61.10062000
48.44665527,-56.48431000
48.49433899,-62.17164000
48.54202271,-63.44207000
48.58970642,-61.79451000
48.63739014,-60.29061000
48.68507385,-56.11427000
48.73275757,-63.05820000
48.78044128,-56.64859000
48.82812500,-53.37294000
48.87580872,-56.30208000
48.92349243,-61.61547000
48.97117615,-58.93063000
49.01885986,-55.90532000
49.06654358,-56.48235000
49.11422729,-60.87024000
49.16191101,-59.18999000
49.20959473,-59.33474000
49.25727844,-66.08645000
49.30496216,-64.32400000
49.35264587,-58.82566000
49.40032959,-57.26528000
49.44801331,-55.56894000
49.49569702,-58.67511000
49.54338074,-69.08744000
49.59106445,-62.92982000
49.63874817,-60.40646000
49.68643188,-64.68768000
49.73411560,-53.95733000
49.78179932,-53.51867000
49.82948303,-54.34669000
49.87716675,-53.80013000
49.92485046,-57.79731000
49.97253418,-59.64788000
50.02021790,-56.39024000
50.06790161,-55.77785000
50.11558533,-50.89417000
50.16326904,-49.72135000
50.21095276,-52.99443000
50.25863647,-58.75870000
50.30632019,-69.60488000
50.35400391,-73.13490000
50.40168762,-61.07906000
50.44937134,-60.22736000
50.49705505,-56.61045000
50.54473877,-54.66874000
50.59242249,-52.48722000
50.64010620,-55.10646000
50.68778992,-60.67001000
50.73547363,-55.52402000
50.78315735,-52.58638000
50.83084106,-53.79298000
50.87852478,-60.54765000
