"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
9.250865966E1,1.100698471E0,2.871387079E-2,-9.614361763E0
9.251077044E1,1.091127157E0,3.828516230E-2,-9.623932838E0
9.251288117E1,1.095912814E0,3.828516230E-2,-9.647860527E0
9.251499195E1,1.095912814E0,3.828516230E-2,-9.647860527E0
9.251710273E1,1.100698471E0,4.785645381E-2,-9.671789169E0
9.251921351E1,1.095912814E0,3.349951655E-2,-9.676574707E0
9.252132424E1,1.100698471E0,4.307080805E-2,-9.686145782E0
9.252343502E1,1.095912814E0,4.307080805E-2,-9.710074425E0
9.252554580E1,1.119840980E0,3.828516230E-2,-9.714859962E0
9.252765658E1,1.110269666E0,5.264209956E-2,-9.734002113E0
9.252976731E1,1.110269666E0,3.828516230E-2,-9.753145218E0
9.253187809E1,1.110269666E0,4.785645381E-2,-9.767501831E0
9.253398888E1,1.110269666E0,5.742774159E-2,-9.762716293E0
9.253609966E1,1.110269666E0,4.785645381E-2,-9.772287369E0
9.253821044E1,1.105484009E0,5.264209956E-2,-9.791430473E0
9.254032117E1,1.105484009E0,4.307080805E-2,-9.781859398E0
9.254243195E1,1.105484009E0,4.785645381E-2,-9.762716293E0
9.254454273E1,1.110269666E0,5.264209956E-2,-9.777072906E0
9.254665351E1,1.115055323E0,5.264209956E-2,-9.777072906E0
9.254876424E1,1.124626637E0,5.742774159E-2,-9.772287369E0
9.255087502E1,1.110269666E0,5.264209956E-2,-9.777072906E0
9.255298580E1,1.119840980E0,6.699903309E-2,-9.772287369E0
9.255509658E1,1.105484009E0,6.221338734E-2,-9.743574142E0
9.255720731E1,1.110269666E0,5.742774159E-2,-9.753145218E0
9.255931809E1,1.100698471E0,6.221338734E-2,-9.753145218E0
9.256142888E1,1.115055323E0,5.742774159E-2,-9.753145218E0
9.256353966E1,1.105484009E0,4.785645381E-2,-9.757930756E0
9.256565039E1,1.100698471E0,6.221338734E-2,-9.762716293E0
9.256776117E1,1.115055323E0,5.264209956E-2,-9.753145218E0
9.256987195E1,1.100698471E0,7.178468257E-2,-9.753145218E0
9.257198273E1,1.105484009E0,4.307080805E-2,-9.777072906E0
9.257409346E1,1.095912814E0,6.699903309E-2,-9.762716293E0
9.257620424E1,1.115055323E0,6.699903309E-2,-9.772287369E0
9.257831502E1,1.110269666E0,7.178468257E-2,-9.781859398E0
9.258042580E1,1.129412293E0,4.785645381E-2,-9.781859398E0
9.258253653E1,1.119840980E0,6.221338734E-2,-9.796216011E0
9.258464731E1,1.119840980E0,6.699903309E-2,-9.801001549E0
9.258675809E1,1.119840980E0,8.135596663E-2,-9.801001549E0
9.258886888E1,1.115055323E0,6.699903309E-2,-9.815358162E0
9.259097966E1,1.115055323E0,6.221338734E-2,-9.834501266E0
9.259309039E1,1.115055323E0,6.221338734E-2,-9.848857880E0
9.259520117E1,1.119840980E0,6.699903309E-2,-9.868000984E0
9.259731195E1,1.129412293E0,6.221338734E-2,-9.863214493E0
9.259942268E1,1.124626637E0,6.221338734E-2,-9.882357597E0
9.260153346E1,1.119840980E0,7.657032460E-2,-9.906285286E0
9.260364424E1,1.129412293E0,7.657032460E-2,-9.906285286E0
9.260575502E1,1.124626637E0,8.135596663E-2,-9.934999466E0
9.260786580E1,1.129412293E0,8.135596663E-2,-9.944570541E0
9.260997653E1,1.129412293E0,8.614161611E-2,-9.949356079E0
9.261208731E1,1.124626637E0,8.614161611E-2,-9.944570541E0
9.261419809E1,1.138983607E0,7.657032460E-2,-9.958928108E0
9.261630888E1,1.129412293E0,8.135596663E-2,-9.973284721E0
9.261841960E1,1.124626637E0,8.614161611E-2,-9.939785004E0
9.262053039E1,1.129412293E0,9.092725813E-2,-9.958928108E0
9.262264117E1,1.138983607E0,7.178468257E-2,-9.939785004E0
9.262475195E1,1.129412293E0,6.699903309E-2,-9.915857315E0
9.262686268E1,1.124626637E0,6.221338734E-2,-9.930213928E0
9.262897346E1,1.124626637E0,9.571290761E-2,-9.920642853E0
9.263108424E1,1.124626637E0,8.135596663E-2,-9.920642853E0
9.263319502E1,1.110269666E0,9.092725813E-2,-9.920642853E0
9.263530575E1,1.110269666E0,1.004985496E-1,-9.901499748E0
9.263741653E1,1.115055323E0,1.052841991E-1,-9.891928673E0
9.263952731E1,1.129412293E0,9.092725813E-2,-9.877572060E0
9.264163809E1,1.129412293E0,9.092725813E-2,-9.901499748E0
9.264374882E1,1.119840980E0,8.614161611E-2,-9.906285286E0
9.264585961E1,1.115055323E0,9.092725813E-2,-9.901499748E0
9.264797039E1,1.110269666E0,9.092725813E-2,-9.925428391E0
9.265008117E1,1.115055323E0,8.135596663E-2,-9.920642853E0
9.265219190E1,1.124626637E0,1.004985496E-1,-9.930213928E0
9.265430268E1,1.124626637E0,9.092725813E-2,-9.930213928E0
9.265641346E1,1.119840980E0,9.092725813E-2,-9.944570541E0
9.265852424E1,1.119840980E0,9.092725813E-2,-9.958928108E0
9.266063497E1,1.124626637E0,1.004985496E-1,-9.978070259E0
9.266274575E1,1.129412293E0,1.100698411E-1,-1.002114105E1
9.266485653E1,1.124626637E0,9.571290761E-2,-1.002114105E1
9.266696731E1,1.124626637E0,1.052841991E-1,-1.001635551E1
9.266907804E1,1.129412293E0,1.004985496E-1,-1.003071213E1
9.267118882E1,1.134197950E0,1.100698411E-1,-1.007378292E1
9.267329961E1,1.134197950E0,1.100698411E-1,-1.006899738E1
9.267541039E1,1.124626637E0,1.052841991E-1,-1.007856941E1
9.267752112E1,1.134197950E0,1.148554832E-1,-1.007378292E1
9.267963184E1,1.138983607E0,1.052841991E-1,-1.005942631E1
9.268174268E1,1.124626637E0,1.052841991E-1,-1.006421185E1
9.268385346E1,1.129412293E0,1.052841991E-1,-1.005942631E1
9.268596419E1,1.110269666E0,1.052841991E-1,-1.005942631E1
9.268807497E1,1.124626637E0,1.100698411E-1,-1.004028416E1
9.269018575E1,1.124626637E0,1.100698411E-1,-1.004506969E1
9.269229653E1,1.129412293E0,1.148554832E-1,-1.004985523E1
9.269440726E1,1.129412293E0,1.100698411E-1,-1.004506969E1
9.269651804E1,1.134197950E0,1.100698411E-1,-1.003071213E1
9.269862882E1,1.124626637E0,1.148554832E-1,-9.997213364E0
9.270073961E1,1.105484009E0,9.571290761E-2,-1.000199890E1
9.270285033E1,1.110269666E0,1.004985496E-1,-9.997213364E0
9.270496112E1,1.110269666E0,1.292124242E-1,-9.987641335E0
9.270707190E1,1.124626637E0,1.292124242E-1,-9.987641335E0
9.270918268E1,1.119840980E0,1.244267747E-1,-1.000678444E1
9.271129346E1,1.134197950E0,1.052841991E-1,-1.000678444E1
9.271340419E1,1.119840980E0,1.244267747E-1,-1.000199890E1
9.271551497E1,1.115055323E0,1.196411327E-1,-1.001635551E1
9.271762575E1,1.115055323E0,1.244267747E-1,-1.001635551E1
9.271973653E1,1.115055323E0,1.292124242E-1,-1.004506969E1
9.272184726E1,1.124626637E0,1.387837082E-1,-1.006421185E1
9.272395804E1,1.115055323E0,1.244267747E-1,-1.007378292E1
9.272606882E1,1.124626637E0,1.292124242E-1,-1.008335495E1
9.272817961E1,1.119840980E0,1.292124242E-1,-1.009292603E1
9.273029033E1,1.119840980E0,1.387837082E-1,-1.009771156E1
9.273240112E1,1.129412293E0,1.387837082E-1,-1.011685371E1
9.273451190E1,1.129412293E0,1.292124242E-1,-1.012164021E1
