"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.430495980E-1,3.802633286E-2,-1.235474050E-1,-3.254382014E-1
6.451603800E-1,3.680460155E-2,-1.430950761E-1,-3.278816640E-1
6.472711610E-1,3.680460155E-2,-1.601992846E-1,-3.327685893E-1
6.493819420E-1,3.924806044E-2,-1.785252392E-1,-3.352120519E-1
6.514927230E-1,4.169152305E-2,-1.944077164E-1,-3.388772309E-1
6.536035050E-1,4.291325063E-2,-2.090684772E-1,-3.413206935E-1
6.557142860E-1,4.169152305E-2,-2.212857604E-1,-3.437641561E-1
6.578250670E-1,4.169152305E-2,-2.322813272E-1,-3.474293351E-1
6.599357960E-1,4.046979174E-2,-2.420551628E-1,-3.486510813E-1
6.620465780E-1,3.924806044E-2,-2.518289983E-1,-3.498727977E-1
6.641573590E-1,3.802633286E-2,-2.628245652E-1,-3.523162603E-1
6.662681400E-1,3.558287397E-2,-2.738201320E-1,-3.547597229E-1
6.683789210E-1,3.191768378E-2,-2.811505198E-1,-3.547597229E-1
6.704897030E-1,3.069595434E-2,-2.897026241E-1,-3.559814394E-1
6.726004840E-1,2.825249545E-2,-2.982547283E-1,-3.559814394E-1
6.747112650E-1,2.458730713E-2,-3.019199073E-1,-3.547597229E-1
6.768220460E-1,2.214384824E-2,-3.068068326E-1,-3.547597229E-1
6.789328280E-1,2.092211880E-2,-3.092502952E-1,-3.547597229E-1
6.810436090E-1,1.847865991E-2,-3.141372204E-1,-3.535379767E-1
6.831543900E-1,1.847865991E-2,-3.153589368E-1,-3.510945439E-1
6.852651710E-1,1.970038936E-2,-3.153589368E-1,-3.510945439E-1
6.873759530E-1,1.847865991E-2,-3.165806830E-1,-3.498727977E-1
6.894867340E-1,1.970038936E-2,-3.153589368E-1,-3.498727977E-1
6.915975150E-1,1.970038936E-2,-3.129154742E-1,-3.462076187E-1
6.937082960E-1,1.970038936E-2,-3.129154742E-1,-3.449858725E-1
6.958190780E-1,2.092211880E-2,-3.068068326E-1,-3.425424397E-1
6.979298590E-1,1.970038936E-2,-3.006981909E-1,-3.388772309E-1
7.000406400E-1,2.214384824E-2,-2.970330119E-1,-3.376555145E-1
7.021514210E-1,2.214384824E-2,-2.909243405E-1,-3.352120519E-1
7.042622030E-1,2.092211880E-2,-2.848156989E-1,-3.315468729E-1
7.063729840E-1,2.336557768E-2,-2.750418782E-1,-3.291034102E-1
7.084837650E-1,2.458730713E-2,-2.652680278E-1,-3.266599476E-1
7.105944940E-1,1.970038936E-2,-2.579376400E-1,-3.217730224E-1
7.127052760E-1,1.847865991E-2,-2.469420880E-1,-3.193295598E-1
7.148160570E-1,1.847865991E-2,-2.347247899E-1,-3.168860972E-1
7.169268380E-1,1.603520103E-2,-2.212857604E-1,-3.107774556E-1
7.190376190E-1,1.847865991E-2,-2.029598206E-1,-3.071122766E-1
7.211484010E-1,1.481347065E-2,-1.907425225E-1,-3.022253513E-1
7.232591820E-1,1.603520103E-2,-1.724165827E-1,-2.985601723E-1
7.253699630E-1,1.725693047E-2,-1.540906429E-1,-2.948949635E-1
7.274807440E-1,1.847865991E-2,-1.345429718E-1,-2.900080681E-1
