"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.260306526E0,-7.581853867E-2,-5.196919441E-1,3.717231750E-2
1.265306526E0,-4.207015038E-2,-4.676926732E-1,7.027053833E-2
1.270306526E0,-2.612805367E-2,-4.397017360E-1,8.496856689E-2
1.275306526E0,-2.171635628E-2,-4.576991796E-1,7.158756256E-2
1.280306526E0,-2.918958664E-3,-4.815372229E-1,2.102375031E-2
1.285306526E0,1.024293900E-2,-5.130150318E-1,-3.288936615E-2
1.290306526E0,2.225923538E-2,-5.411236286E-1,-7.822799683E-2
1.295306526E0,4.563331604E-3,-5.665328503E-1,-9.460926056E-2
1.300306526E0,-3.773140907E-2,-5.529748201E-1,-6.404876709E-2
1.305306526E0,-4.004335403E-2,-5.588840246E-1,4.462528229E-2
1.310306526E0,-2.328920364E-2,-5.413200855E-1,7.226562500E-2
1.315306526E0,-6.237506866E-3,-5.410834551E-1,-1.939201355E-2
1.320306526E0,-1.848220825E-3,-5.588604212E-1,-9.540748596E-2
1.325306526E0,-3.213644028E-3,-6.430224180E-1,-9.639072418E-2
1.330306526E0,-2.875828743E-2,-7.038511038E-1,-1.083126068E-1
1.335306526E0,-4.705071449E-2,-7.217509747E-1,-6.622028351E-2
1.340306526E0,-7.489967346E-2,-7.189941406E-1,-4.853820801E-2
1.345306526E0,-9.460401535E-2,-7.048717737E-1,-5.035686493E-2
1.350306526E0,-2.806019783E-2,-6.284263134E-1,-1.958465576E-2
1.355306526E0,5.565476418E-2,-5.162810087E-1,-3.362178802E-2
1.360306526E0,1.651122570E-1,-4.100196362E-1,-5.094337463E-2
1.365306526E0,2.294769287E-1,-3.012794256E-1,-1.059598923E-1
1.370306526E0,2.547221184E-1,-2.277464867E-1,-1.368179321E-1
1.375306526E0,2.821805477E-1,-1.475324631E-1,-1.251993179E-1
1.380306526E0,3.176538944E-1,-8.753407001E-2,-7.999801636E-2
1.385306526E0,3.384439945E-1,-5.557501316E-2,-4.346179962E-2
1.390306526E0,3.402833939E-1,-1.924955845E-2,4.329681396E-4
1.395306526E0,3.015365601E-1,7.202744484E-3,5.179405212E-2
1.400306526E0,2.331845760E-1,1.619875431E-2,9.612941742E-2
1.405306526E0,1.575121880E-1,7.033133507E-2,1.391954422E-1
1.410306526E0,1.103982925E-1,1.388273239E-1,1.830425262E-1
1.415306526E0,1.176366806E-1,2.258043289E-1,1.677770615E-1
1.420306526E0,1.461033821E-1,3.068466187E-1,1.460218430E-1
1.425306526E0,1.958284378E-1,3.852486610E-1,5.231857300E-2
1.430306526E0,2.412865162E-1,4.471039772E-1,-4.241275787E-2
1.435306526E0,2.834825516E-1,4.801324606E-1,-1.331844330E-1
1.440306526E0,3.103945255E-1,5.020714998E-1,-1.754655838E-1
1.445306526E0,3.378107548E-1,5.195200443E-1,-1.275119781E-1
1.450306526E0,3.803021908E-1,5.158120394E-1,-6.178760529E-2
