"Frequency[kHz]","Channel[dBu]"
36.71646118,-58.97869000
36.76414490,-57.73603000
36.81182861,-56.71569000
36.85951233,-57.52068000
36.90719604,-64.02444000
36.95487976,-62.61137000
37.00256348,-62.15544000
37.05024719,-57.91647000
37.09793091,-52.72456000
37.14561462,-58.96888000
37.19329834,-59.76902000
37.24098206,-54.02054000
37.28866577,-53.33397000
37.33634949,-54.95659000
37.38403320,-57.07796000
37.43171692,-52.91658000
37.47940063,-54.17639000
37.52708435,-53.85453000
37.57476807,-50.26801000
37.62245178,-53.32868000
37.67013550,-53.27043000
37.71781921,-51.59096000
37.76550293,-51.42491000
37.81318665,-53.97184000
37.86087036,-58.47345000
37.90855408,-52.70074000
37.95623779,-52.81271000
38.00392151,-54.31536000
38.05160522,-58.30664000
38.09928894,-57.11103000
38.14697266,-58.94575000
38.19465637,-56.17931000
38.24234009,-61.27986000
38.29002380,-62.71891000
38.33770752,-56.71680000
38.38539124,-58.29464000
38.43307495,-67.20171000
38.48075867,-71.70547000
38.52844238,-59.74403000
38.57612610,-55.70652000
38.62380981,-63.03247000
38.67149353,-59.15049000
38.71917725,-59.02155000
38.76686096,-72.04621000
38.81454468,-57.42323000
38.86222839,-57.68681000
38.90991211,-55.43074000
38.95759583,-55.75407000
39.00527954,-61.65751000
39.05296326,-61.30915000
39.10064697,-62.51301000
39.14833069,-59.77962000
39.19601440,-62.61301000
39.24369812,-68.64156000
39.29138184,-84.46317000
39.33906555,-64.13245000
39.38674927,-58.94012000
39.43443298,-60.03366000
39.48211670,-64.87293000
39.52980042,-66.12167000
39.57748413,-67.82492000
39.62516785,-64.36437000
39.67285156,-61.55984000
39.72053528,-59.85433000
39.76821899,-54.00057000
39.81590271,-52.55536000
39.86358643,-62.78019000
39.91127014,-56.74116000
39.95895386,-54.31929000
40.00663757,-55.40189000
40.05432129,-51.35116000
40.10200500,-49.22382000
40.14968872,-49.77685000
40.19737244,-51.66640000
40.24505615,-55.21021000
40.29273987,-60.66196000
40.34042358,-68.47652000
40.38810730,-60.53605000
40.43579102,-56.91915000
40.48347473,-59.07891000
40.53115845,-60.45193000
40.57884216,-56.25761000
40.62652588,-55.68353000
40.67420959,-57.91530000
40.72189331,-59.14515000
40.76957703,-61.46268000
40.81726074,-57.45932000
40.86494446,-56.02803000
40.91262817,-58.01237000
40.96031189,-63.05961000
41.00799561,-62.82072000
41.05567932,-71.37130000
41.10336304,-52.72017000
41.15104675,-50.88903000
41.19873047,-56.15771000
41.24641418,-62.52524000
41.29409790,-57.59192000
41.34178162,-55.75275000
41.38946533,-53.04047000
41.43714905,-52.69251000
41.48483276,-54.82328000
41.53251648,-56.84380000
41.58020020,-58.03350000
41.62788391,-73.16656000
41.67556763,-59.89640000
41.72325134,-57.51705000
41.77093506,-61.23909000
41.81861877,-74.29968000
41.86630249,-64.79497000
41.91398621,-55.68168000
41.96166992,-50.72578000
42.00935364,-53.40175000
42.05703735,-55.26676000
42.10472107,-55.73908000
42.15240479,-50.97213000
42.20008850,-50.41570000
42.24777222,-52.65894000
42.29545593,-56.73034000
42.34313965,-78.79763000
42.39082336,-58.49102000
42.43850708,-53.63616000
42.48619080,-53.04922000
42.53387451,-55.50965000
42.58155823,-56.67307000
42.62924194,-61.82587000
42.67692566,-63.84035000
42.72460938,-53.83139000
42.77229309,-53.76471000
42.81997681,-58.63889000
42.86766052,-70.46912000
42.91534424,-57.53734000
42.96302795,-58.98257000
43.01071167,-64.03059000
43.05839539,-65.25499000
43.10607910,-54.91743000
43.15376282,-52.50166000
43.20144653,-52.19714000
43.24913025,-55.67566000
43.29681396,-66.31080000
43.34449768,-56.91839000
43.39218140,-52.11486000
43.43986511,-53.17996000
43.48754883,-55.34139000
43.53523254,-60.68171000
43.58291626,-62.96204000
43.63059998,-55.14954000
43.67828369,-54.67419000
43.72596741,-57.06937000
43.77365112,-55.78930000
