"Frequency[kHz]","Channel A[dBu]"
42.53387451,-74.87335000
42.58155823,-55.43180000
42.62924194,-52.44069000
42.67692566,-57.19394000
42.72460938,-54.97387000
42.77229309,-56.47760000
42.81997681,-58.03573000
42.86766052,-53.64310000
42.91534424,-52.57000000
42.96302795,-61.36355000
43.01071167,-53.38353000
43.05839539,-48.73606000
43.10607910,-49.87529000
43.15376282,-52.04209000
43.20144653,-50.15874000
43.24913025,-49.34509000
43.29681396,-51.39068000
43.34449768,-58.43071000
43.39218140,-61.16932000
43.43986511,-57.59298000
43.48754883,-63.90102000
43.53523254,-58.85611000
43.58291626,-64.32059000
43.63059998,-61.64912000
43.67828369,-61.54934000
43.72596741,-64.77618000
43.77365112,-62.45087000
43.82133484,-52.25780000
43.86901855,-49.02715000
43.91670227,-50.27969000
43.96438599,-55.69851000
44.01206970,-64.99403000
44.05975342,-71.70827000
44.10743713,-59.69156000
44.15512085,-56.06194000
44.20280457,-58.81896000
44.25048828,-54.39594000
44.29817200,-53.31483000
44.34585571,-53.70766000
44.39353943,-56.06895000
44.44122314,-56.46836000
44.48890686,-53.20078000
44.53659058,-49.12255000
44.58427429,-48.54778000
44.63195801,-53.28566000
44.67964172,-62.66616000
44.72732544,-68.67744000
44.77500916,-67.05829000
44.82269287,-64.92506000
44.87037659,-70.85072000
44.91806030,-63.54227000
44.96574402,-54.87845000
45.01342773,-50.99788000
45.06111145,-52.84881000
45.10879517,-60.98645000
45.15647888,-59.41563000
45.20416260,-57.20812000
45.25184631,-51.79436000
45.29953003,-54.98920000
45.34721375,-56.93721000
45.39489746,-69.17529000
45.44258118,-54.83714000
45.49026489,-63.95650000
45.53794861,-54.04332000
45.58563232,-56.36186000
45.63331604,-57.76644000
45.68099976,-59.77573000
45.72868347,-56.85912000
45.77636719,-53.85126000
45.82405090,-59.18718000
45.87173462,-64.00961000
45.91941833,-65.52097000
45.96710205,-60.98989000
46.01478577,-56.45943000
46.06246948,-55.99771000
46.11015320,-56.62207000
46.15783691,-66.20573000
46.20552063,-67.91882000
46.25320435,-66.65231000
46.30088806,-74.58472000
46.34857178,-60.58638000
46.39625549,-65.65960000
46.44393921,-63.50443000
46.49162292,-59.76525000
46.53930664,-58.92491000
46.58699036,-56.94598000
46.63467407,-61.26070000
46.68235779,-61.56261000
46.73004150,-56.39928000
46.77772522,-69.43219000
46.82540894,-57.24953000
46.87309265,-54.14291000
46.92077637,-56.84380000
46.96846008,-62.67720000
47.01614380,-60.09801000
47.06382751,-68.17938000
47.11151123,-61.25644000
47.15919495,-60.03402000
47.20687866,-67.33985000
47.25456238,-57.12027000
47.30224609,-58.32638000
47.34992981,-66.57590000
47.39761353,-59.70295000
47.44529724,-54.17978000
47.49298096,-58.47515000
47.54066467,-61.96066000
47.58834839,-56.90048000
47.63603210,-57.32333000
47.68371582,-53.49049000
47.73139954,-53.67296000
47.77908325,-56.77787000
47.82676697,-59.86977000
47.87445068,-75.58089000
47.92213440,-66.64474000
47.96981812,-72.46942000
48.01750183,-73.14198000
48.06518555,-65.98187000
48.11286926,-58.89698000
48.16055298,-62.80162000
